Id,expression
0,3
1,4
2,2
3,0
4,5
5,2
6,3
7,4
8,1
9,0
10,5
11,2
12,3
13,4
14,2
15,0
16,5
17,2
18,3
19,4
20,1
21,0
22,5
23,2
24,3
25,4
26,1
27,0
28,4
29,2
30,3
31,4
32,2
33,0
34,5
35,2
36,3
37,4
38,1
39,0
40,5
41,2
42,3
43,4
44,2
45,0
46,5
47,2
48,3
49,4
50,2
51,0
52,5
53,2
54,3
55,4
56,1
57,0
58,5
59,3
60,4
61,1
62,0
63,5
64,2
65,3
66,4
67,2
68,0
69,5
70,2
71,3
72,4
73,1
74,0
75,5
76,2
77,5
78,4
79,2
80,0
81,1
82,2
83,3
84,4
85,1
86,0
87,5
88,2
89,3
90,4
91,1
92,0
93,1
94,2
95,3
96,4
97,2
98,0
99,5
100,2
101,3
102,4
103,2
104,0
105,5
106,2
107,3
108,4
109,1
110,0
111,5
112,2
113,3
114,4
115,1
116,0
117,5
118,2
119,3
120,3
121,1
122,0
123,5
124,2
125,3
126,4
127,1
128,0
129,5
130,2
