Id,expression
0,0
1,5
2,5
3,1
4,6
5,3
6,5
7,5
8,1
9,3
10,0
11,5
12,7
13,0
14,5
15,6
16,7
17,6
18,1
19,0
20,4
21,5
22,7
23,0
24,0
25,6
26,2
27,6
28,3
29,0
30,0
31,1
32,5
33,1
34,3
35,7
36,1
37,0
38,4
39,0
40,1
41,2
42,0
43,5
44,6
45,6
46,4
47,0
48,1
49,4
50,0
51,2
52,7
53,1
54,1
55,2
56,6
57,5
58,0
59,7
60,3
61,4
62,1
63,4
64,1
65,5
66,2
67,4
68,7
69,2
70,5
71,5
72,6
73,4
74,0
75,2
76,1
77,5
78,2
79,3
80,6
81,5
82,0
83,6
84,5
85,3
86,7
87,1
88,4
89,6
90,1
91,3
92,3
93,7
94,5
95,3
96,4
97,1
98,0
99,7
100,2
101,1
102,4
103,5
104,1
105,1
106,6
107,1
108,3
109,6
110,2
111,7
112,2
113,7
114,2
115,1
116,7
117,5
118,6
119,7
120,2
121,4
122,5
123,7
124,6
125,6
126,4
127,7
128,4
129,4
130,0
